id,name,type,selectors,parent,is_group,is_editable,is_required,ordering
655d4861-c507-07a9-bea4-82687cf750c3,Slides,,.M_EL_SliderSlides,ee488e25-50e4-0be6-8bde-080c69a88959,False,True,False,b0a
74bd7093-f924-033d-a67c-fdb8c320adfe,Loop slides,,.M_EL_SliderLoopSlides,ee488e25-50e4-0be6-8bde-080c69a88959,False,True,False,b0b
5e0d0554-d43a-01e4-ac4e-84a3cd493660,Slide,,.M_EL_SliderSlide__content:where(.M_EL_SliderSlide > .M_EL_SliderSlide__content),ee488e25-50e4-0be6-8bde-080c69a88959,False,True,False,b0c
49772031-10a1-0a84-b2dd-df0666fcf907,Navigation,,.M_EL_SliderNavigation,ee488e25-50e4-0be6-8bde-080c69a88959,False,True,False,b0d
21db5141-ef34-0e46-a1bd-66ecbcc945c8,Bullet,,.M_EL_SliderNavigationBullet,ee488e25-50e4-0be6-8bde-080c69a88959,False,True,False,b0e
829de3ab-c95a-0f0d-a522-7e13e156635b,Button,,.M_EL_SliderArrowLeft|.M_EL_SliderArrowRight,ee488e25-50e4-0be6-8bde-080c69a88959,False,True,False,b0f
246ad9ac-c8db-07ae-8bb3-11c428511643,Post content,,.M_EL_WPContent|.wp-block-post-content,,False,True,True,b0g
07923762-4124-4514-9410-84ba6a3d25c9,Shortcode,,.M_EL_WPShortcode,,False,True,False,b0h
e5fb8634-963c-0dd3-9a71-4c6efdba06ad,Inline link,,.M_EL_WysiwygLink,,False,True,False,b0i
29311743-3270-043f-b298-ea31d4c7f70a,Span,,.M_EL_WysiwygSpan,,False,True,False,b0j
fcf8c83b-547b-018b-b646-6d7b34101792,Template,,.ElementMResource_template,,False,False,False,b0k
6a9dad32-018a-04da-9bb7-2a6c6996e165,Template,,.ElementMResource_template,,False,False,False,b0l
43b7ad91-51a2-0483-8c14-9b3e56dca5b6,Component,,.unknown,,False,False,False,b0m
e2096bb4-3ac7-0839-9125-0703ccf66d72,Component,,.unknown,,False,False,False,b0n
03f7dc2d-5a63-0582-8b70-81f69956473f,Instance,,.M_EL_ComponentInstance,,False,False,False,b0o
0d4bea5d-0712-0019-b509-f36b453c8457,Unknown,,.unknown,,False,False,False,b0p
