type,rule,allowed_children,nested_rule,declared_in
textarea-input,none,,yes,Mosaic/NodeTypes/Pro/Form/Form/MElements/TextArea/TextAreaElementTypeFactory.php
turnstile,none,,yes,Mosaic/NodeTypes/Pro/Form/Form/MElements/Turnstile/TurnstileElementTypeFactory.php
video,none,,,Mosaic/NodeTypes/Video/VideoElementTypeFactory.php
vimeo,none,,,Mosaic/NodeTypes/Vimeo/VimeoElementTypeFactory.php
wp-menu,allow,list-item,yes,Mosaic/NodeTypes/Menu/WPMenu/WPMenuElementTypeFactory.php
wpContent,none,,,Mosaic/NodeTypes/WPContent/WPContentElementTypeFactory.php
wpShortcode,none,,,Mosaic/NodeTypes/WPShortcode/WPShortcodeElementTypeFactory.php
wysiwyg-linebreak,none,,,Mosaic/NodeTypes/Wysiwyg/WysiwygLineBreak/WysiwygLineBreakNodeTypeFactory.php
wysiwyg-link,none,,,Mosaic/NodeTypes/Wysiwyg/WysiwygLink/WysiwygLinkElementTypeFactory.php
wysiwyg-span,none,,,Mosaic/NodeTypes/Wysiwyg/WysiwygSpan/WysiwygSpanElementTypeFactory.php
wysiwyg-text,none,,,Mosaic/NodeTypes/Wysiwyg/WysiwygText/WysiwygTextNodeTypeFactory.php
wysiwyg-variable,none,,,Mosaic/NodeTypes/Wysiwyg/WysiwygVariable/WysiwygVariableNodeTypeFactory.php
youtube,none,,,Mosaic/NodeTypes/YouTube/YouTubeElementTypeFactory.php
