type,label,class,extends,abstract,edition,alias_types,is_link,can_be_parent,default_element_class,data_class,data_extends,file
icon,Icon,IconElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,IconElementVariationsConst::IconElementClassID,IconElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Icon/IconElementTypeFactory.php
image,Image,ImageElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,ImageElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Image/ImageElementTypeFactory.php
list,List,ListElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,ListElementVariationsConst::ListElementClassID,ListElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/ListElement/ListElementTypeFactory.php
list-item,Item,ListItemElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,true,,ListItemElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/ListElement/ListItem/ListItemElementTypeFactory.php
list-loop-items,Loop items,ListLoopItemsElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,ListLoopItemsElementMResourceData,ElementMResourceLoopDataAbstract,Mosaic/NodeTypes/ListElement/ListLoopItems/ListLoopItemsElementTypeFactory.php
loop,Loop,LoopElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,LoopElementMResourceData,ElementMResourceLoopDataAbstract,Mosaic/NodeTypes/Loop/LoopElementTypeFactory.php
loop-item,Item,LoopItemElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,true,,LoopItemElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Loop/LoopItems/LoopItem/LoopItemElementTypeFactory.php
loop-items,Items,LoopItemsElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,LoopItemsElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Loop/LoopItems/LoopItemsElementTypeFactory.php
loop-no-result,No result,LoopNoResultElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,true,,LoopNoResultElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Loop/LoopNoResult/LoopNoResultElementTypeFactory.php
loop-pagination-button-next,Next button,LoopPaginationButtonNextElementTypeFactory,ElementTypeFactoryAbstract,no,free,,true,true,,,,Mosaic/NodeTypes/Loop/LoopPagination/Button/ButtonNext/LoopPaginationButtonNextElementTypeFactory.php
loop-pagination-button-previous,Previous button,LoopPaginationButtonPreviousElementTypeFactory,ElementTypeFactoryAbstract,no,free,,true,true,,,,Mosaic/NodeTypes/Loop/LoopPagination/Button/ButtonPrevious/LoopPaginationButtonPreviousElementTypeFactory.php
loop-pagination,Pagination,LoopPaginationElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,true,,LoopPaginationElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Loop/LoopPagination/LoopPaginationElementTypeFactory.php
loop-pagination-numbers,Numbers,LoopPaginationNumbersElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,LoopPaginationNumbersElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Loop/LoopPagination/Numbers/LoopPaginationNumbersElementTypeFactory.php
loop-pagination-number,Number,LoopPaginationNumberElementTypeFactory,ElementTypeFactoryAbstract,no,free,,true,,,LoopPaginationNumberElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Loop/LoopPagination/Numbers/Number/LoopPaginationNumberElementTypeFactory.php
dropdown-toggle,Dropdown toggle,DropdownToggleElementTypeFactory,ElementTypeFactoryAbstract,no,free,,true,true,,DropdownToggleElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Menu/Dropdown/DropdownToggle/DropdownToggleElementTypeFactory.php
dropdown-wide,Dropdown wide,DropdownWideElementTypeFactory,DropdownElementTypeFactoryAbstract,no,free,,,,,DropdownWideElementMResourceData,AbstractDropdownElementMResourceData,Mosaic/NodeTypes/Menu/Dropdown/DropdownWide/DropdownWideElementTypeFactory.php
dropdown-wrapper-wide,Dropdown wrapper wide,DropdownWrapperWideElementTypeFactory,DropdownWrapperElementTypeFactoryAbstract,no,free,,,,,,,Mosaic/NodeTypes/Menu/Dropdown/DropdownWide/DropdownWrapperWide/DropdownWrapperWideElementTypeFactory.php
